地域コード,地域,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
13102,中央区,40～44,16770,7972,8798,15547,7373,8174,1223,599,624
13102,中央区,45～49,17190,8144,9046,16277,7700,8577,913,444,469
13102,中央区,50～54,16164,7652,8512,15496,7309,8187,668,343,325
13102,中央区,55～59,12562,6201,6361,12062,5948,6114,500,253,247
13102,中央区,60～64,8752,4352,4400,8288,4118,4170,464,234,230
13102,中央区,65～69,5850,2871,2979,5600,2748,2852,250,123,127
13102,中央区,70～74,5776,2679,3097,5639,2603,3036,137,76,61
13102,中央区,75～79,5392,2315,3077,5325,2279,3046,67,36,31
13102,中央区,80～84,4162,1564,2598,4111,1544,2567,51,20,31
13102,中央区,85～89,2826,920,1906,2801,913,1888,25,7,18
13102,中央区,90～94,1418,417,1001,1407,413,994,11,4,7
13102,中央区,95～99,406,77,329,404,75,329,2,2,-
13102,中央区,100以上,54,9,45,54,9,45,-,-,-
13103,港区,総数,266306,125353,140953,245028,114470,130558,21278,10883,10395
13103,港区,0～4,12163,6228,5935,11366,5823,5543,797,405,392
13103,港区,5～9,13106,6616,6490,12135,6139,5996,971,477,494
13103,港区,10～14,10873,5483,5390,10115,5080,5035,758,403,355
13103,港区,15～19,8714,4457,4257,8099,4115,3984,615,342,273
13103,港区,20～24,11071,5353,5718,10064,4905,5159,1007,448,559
13103,港区,25～29,18247,9022,9225,16451,8130,8321,1796,892,904
13103,港区,30～34,20195,9528,10667,17746,8336,9410,2449,1192,1257
13103,港区,35～39,21794,10055,11739,19158,8775,10383,2636,1280,1356
13103,港区,40～44,23423,11022,12401,20772,9679,11093,2651,1343,1308
13103,港区,45～49,23898,11318,12580,21830,10239,11591,2068,1079,989
13103,港区,50～54,23618,11065,12553,21802,10036,11766,1816,1029,787
13103,港区,55～59,19696,9657,10039,18302,8853,9449,1394,804,590
13103,港区,60～64,14202,6895,7307,13231,6374,6857,971,521,450
13103,港区,65～69,10272,4929,5343,9711,4643,5068,561,286,275
13103,港区,70～74,10220,4525,5695,9864,4344,5520,356,181,175
13103,港区,75～79,9422,4047,5375,9217,3954,5263,205,93,112
13103,港区,80～84,7114,2712,4402,7000,2664,4336,114,48,66
13103,港区,85～89,4799,1587,3212,4718,1545,3173,81,42,39
13103,港区,90～94,2537,684,1853,2513,670,1843,24,14,10
13103,港区,95～99,799,154,645,793,150,643,6,4,2
13103,港区,100以上,143,16,127,141,16,125,2,-,2
13104,新宿区,総数,349226,175428,173798,305329,152484,152845,43897,22944,20953
13104,新宿区,0～4,9918,5077,4841,9136,4671,4465,782,406,376
13104,新宿区,5～9,10401,5269,5132,9516,4825,4691,885,444,441
13104,新宿区,10～14,9848,5017,4831,8924,4524,4400,924,493,431
13104,新宿区,15～19,11875,6183,5692,8622,4394,4228,3253,1789,1464
13104,新宿区,20～24,26921,13700,13221,17847,8731,9116,9074,4969,4105
13104,新宿区,25～29,35289,18393,16896,27691,14179,13512,7598,4214,3384
13104,新宿区,30～34,30021,16025,13996,24795,13271,11524,5226,2754,2472
13104,新宿区,35～39,27566,14676,12890,23897,12690,11207,3669,1986,1683
