,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,野間口,さわ,大和,木宮,小池,うつみ,石丸,小野寺,しんどう,竹本,桜井,ドクター・中松,安野,清水,ＡＩメイヤー,桑原,ゴトウ,河合,福本,黒川,桑島,田母神,蓮舫,ないとう,内野,石丸,尾関,小松,かがた,福永,犬伏,武内,遠藤,上楽,二宮,中江,ふなはし,山田,加藤,草尾,津村,横山,前田,みなみ,ふくはら,木村,三輪,松尾,ホカリ,小林,加藤,ひまそら,向後,うしくぼ,古田,アキノリ将軍未満
,,翔,しげみ,行男,みつき,ゆりこ,さとる,伸二,こうき,伸夫,秀之,誠,,たかひろ,国明,,まりこ,テルキ,ゆうすけ,繁幸,あつひこ,康文,としお,,ひさお,愛里,幸人,あゆみ,けん,たくじ,かつや,宏明,隆,信一,むねゆき,大造,ともや,ゆめと,信一,英明,あつし,大作,緑,太一,俊輔,しるび,よしたか,陽一,芳治,ジン,弘,健一郎,あかね,真徳,のぶお,真,
,,無所属,無所属,無所属,未来党,無所属,市民がつくる政治の会,無所属,忠臣蔵義士新党,お金をみんなへ　シン独立党,無所属,日本第一党,無所属,無所属,清水国明と東京都の安全な未来をつくる会,ＡＩ党,無所属,ラブ＆ピース党,ジョーカー議員と投票率を上げる会,無所属,つばさの党,核融合党,無所属,無所属,無所属,カワイイ私の政見放送を見てね,石丸幸人党,ポーカー党,ゴルフ党,覇王党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,無所属,無所属,無所属,無所属,無所属,無所属,（略称）土頭を働かし最高裁裁判官５人を弾劾する党,ネオ幕府アキノリ党
　　東村山市,確,16.000,11.000,84.000,44.000,34410.000,1176.000,16009.394,3.000,4.000,7.000,824.000,285.000,780.000,506.000,39.000,33.000,51.000,19.000,34.000,16.000,3.000,2690.000,15433.000,35.000,31.000,1287.605,1.000,15.000,14.000,10.000,9.000,3.000,11.000,3.000,13.000,5.000,5.000,6.000,4.000,7.000,3.000,26.000,6.000,3.000,8.000,6.000,3.000,,11.000,106.000,9.000,1002.000,18.000,15.000,1.000,6.000
　　国分寺市,確,13.000,10.000,103.000,45.000,28481.000,1275.000,16801.006,5.000,6.000,5.000,607.000,241.000,1517.000,397.000,45.000,17.000,49.000,12.000,38.000,19.000,3.000,2301.000,15028.000,20.000,18.000,595.993,2.000,6.000,6.000,13.000,2.000,3.000,5.000,1.000,6.000,5.000,5.000,6.000,2.000,2.000,1.000,30.000,3.000,1.000,6.000,9.000,4.000,1.000,6.000,61.000,1.000,1046.000,22.000,9.000,1.000,5.000
　　国立市,確,11.000,7.000,59.000,41.000,16649.000,786.000,9439.639,3.000,6.000,5.000,356.000,161.000,802.000,243.000,17.000,6.000,43.000,10.000,27.000,13.000,2.000,1470.000,9177.000,15.000,10.000,217.360,4.000,17.000,5.000,9.000,1.000,3.000,12.000,3.000,2.000,2.000,8.000,2.000,1.000,1.000,6.000,13.000,2.000,2.000,1.000,5.000,1.000,6.000,8.000,45.000,5.000,573.000,19.000,4.000,7.000,11.000
　　福生市,確,6.000,8.000,31.000,19.000,12488.000,475.000,5197.993,1.000,2.000,1.000,359.000,109.000,180.000,192.000,12.000,10.000,20.000,6.000,15.000,12.000,,1002.000,4393.000,9.000,12.000,327.006,,4.000,6.000,4.000,,,3.000,1.000,3.000,2.000,1.000,1.000,11.052,3.000,,12.000,2.000,,,2.000,7.000,1.000,2.000,30.000,9.947,328.000,3.000,7.000,4.000,3.000
　　狛江市,確,3.000,6.000,72.000,31.000,18466.000,781.000,10988.890,2.000,3.000,7.000,424.000,142.000,785.000,271.000,33.000,11.000,33.000,7.000,14.000,7.000,1.000,1585.000,9003.000,12.000,9.000,153.109,1.000,6.000,1.000,4.000,1.000,3.000,3.000,4.000,5.000,1.000,1.000,4.000,6.000,2.000,1.000,7.000,3.000,,3.000,4.000,1.000,4.000,,39.000,1.000,621.000,10.000,10.000,1.000,4.000
　　東大和市,確,3.000,5.000,59.000,29.000,20377.000,716.000,8117.841,3.000,4.000,3.000,436.000,130.000,338.000,245.000,13.000,9.000,31.000,11.000,16.000,9.000,4.000,1306.000,8175.000,12.000,11.000,930.158,4.000,1.000,3.000,7.000,11.000,4.000,1.000,3.000,11.000,3.000,1.000,4.000,4.571,1.000,1.000,7.000,2.000,,3.000,6.000,,4.000,10.000,43.000,3.428,519.000,11.000,5.000,,4.000
　　清瀬市,確,,9.000,45.000,38.000,17275.000,579.000,7425.528,1.000,2.000,2.000,368.000,143.000,391.000,211.000,11.000,16.000,25.000,10.000,20.000,12.000,2.000,1226.000,8081.000,18.000,8.000,1110.471,5.000,5.000,3.000,8.000,,2.000,4.000,,2.000,3.000,2.000,4.000,6.000,3.000,,14.000,1.000,1.000,6.000,8.000,7.000,3.000,4.000,51.000,3.000,490.000,8.000,4.000,1.000,2.000
　　東久留米市,確,14.000,13.000,79.000,41.000,26283.000,1010.000,13022.304,6.000,3.000,13.000,551.000,191.000,596.000,336.000,10.000,20.000,46.000,13.000,22.000,16.000,1.000,1904.000,12126.000,21.000,10.000,372.695,3.000,7.000,3.000,9.000,3.000,1.000,5.000,,6.000,2.000,3.000,3.000,11.000,4.000,1.000,10.000,10.000,3.000,12.000,5.000,2.000,4.000,5.000,66.000,2.000,708.000,19.000,8.000,6.000,4.000
　　武蔵村山市,確,5.000,9.000,22.000,20.000,16012.000,478.000,6109.328,1.000,9.000,2.000,415.000,91.000,180.000,196.000,14.000,25.000,24.000,5.000,15.000,7.000,2.000,1019.000,5482.000,9.000,10.000,332.671,3.000,5.000,5.000,2.000,1.000,5.000,5.000,1.000,12.000,2.000,,7.000,2.000,8.000,1.000,11.000,8.000,3.000,1.000,3.000,2.000,5.000,4.000,35.000,1.000,337.000,10.000,3.000,2.000,10.000
　　多摩市,確,10.000,13.000,88.000,50.000,33676.000,1483.000,14479.934,3.000,19.000,9.000,704.000,263.000,1012.000,430.000,76.000,35.000,56.000,6.000,36.000,22.000,15.000,2505.000,17263.000,27.000,39.000,3287.065,3.000,20.000,2.000,14.000,1.000,7.000,32.000,1.000,13.000,4.000,4.000,1.000,9.529,4.000,1.000,23.000,7.000,8.000,2.000,5.000,15.000,3.000,6.000,65.000,8.470,1088.000,19.000,11.000,2.000,9.000
　　稲城市,確,6.000,3.000,60.000,29.000,21455.000,755.000,12167.534,6.000,1.000,8.000,423.000,156.000,703.000,233.000,28.000,11.000,38.000,22.000,14.000,20.000,1.000,1629.000,8407.000,16.000,13.000,251.465,1.000,6.000,4.000,9.000,1.000,16.000,20.952,2.000,5.000,2.000,5.000,1.047,6.000,4.000,1.000,17.000,4.000,,3.000,6.000,2.000,1.000,9.000,41.000,4.000,649.000,14.000,5.000,,1.000
　　羽村市,確,7.000,4.000,19.000,19.000,12522.000,422.000,5462.834,3.000,3.000,1.000,266.000,93.000,188.000,157.000,6.000,5.000,22.000,9.000,11.000,8.000,2.000,747.000,4689.000,14.000,11.000,378.165,2.000,4.000,4.000,3.000,1.000,1.000,1.000,1.000,4.000,3.000,,3.000,,,2.000,7.000,,1.000,4.000,3.000,,7.000,5.000,29.000,,339.000,9.000,2.000,1.000,
　　あきる野市,確,6.000,8.000,28.000,42.000,19995.000,749.000,7537.060,1.000,3.000,1.000,380.000,88.000,203.000,211.000,11.000,11.000,30.000,9.000,10.000,13.000,4.000,1184.000,7059.000,14.000,16.000,391.939,1.000,7.000,3.000,4.000,2.000,2.000,4.000,1.000,5.000,4.000,2.000,5.000,2.000,1.000,1.000,15.000,2.000,1.000,1.000,6.000,2.000,,4.000,46.000,2.000,374.000,8.000,6.000,,3.000
　　西東京市,確,22.000,14.000,175.000,66.000,45352.000,1874.000,24204.621,12.000,9.000,17.000,1120.000,341.000,1721.000,619.000,50.000,20.000,78.000,25.000,51.000,20.000,8.000,3890.000,21530.000,31.000,28.000,1791.378,1.000,10.000,7.000,27.000,5.000,1.000,12.000,3.000,7.000,2.000,5.000,18.000,6.000,5.000,3.000,36.000,4.000,7.000,7.000,2.000,1.000,2.000,13.000,133.000,14.000,1660.000,32.000,8.000,4.000,19.000
西多摩郡計,,3.000,6.000,19.000,23.000,15034.000,413.000,4383.762,7.000,2.000,3.000,270.000,68.000,100.000,152.000,12.000,9.000,12.000,6.000,7.000,7.000,4.000,753.000,4205.000,12.000,9.000,401.234,2.000,4.000,3.000,5.000,1.000,,4.000,1.000,1.000,3.000,3.000,5.000,3.000,3.000,3.000,7.000,1.000,4.000,2.000,2.000,3.000,1.000,2.000,33.000,2.000,247.000,2.000,6.000,2.000,
　　瑞穂町,確,1.000,3.000,13.000,13.000,8078.000,190.000,2479.017,4.000,,2.000,175.000,42.000,58.000,97.000,5.000,5.000,6.000,4.000,5.000,3.000,1.000,464.000,2227.000,5.000,6.000,346.982,2.000,1.000,,,1.000,,3.000,,1.000,2.000,1.000,,,,1.000,4.000,,2.000,2.000,,,1.000,1.000,16.000,2.000,172.000,2.000,3.000,1.000,
　　日の出町,確,1.000,2.000,6.000,9.000,4467.000,143.000,1425.915,2.000,1.000,,71.000,16.000,32.000,41.000,6.000,2.000,5.000,2.000,2.000,2.000,3.000,232.000,1437.000,6.000,3.000,41.084,,,1.000,3.000,,,1.000,1.000,,,2.000,3.000,2.000,1.000,1.000,2.000,1.000,1.000,,1.000,,,1.000,14.000,,54.000,,3.000,1.000,
　　檜原村,確,1.000,,,1.000,731.000,53.000,146.979,1.000,1.000,,7.000,3.000,2.000,2.000,,2.000,,,,1.000,,24.000,196.000,,,3.020,,1.000,1.000,1.000,,,,,,1.000,,2.000,,,,,,,,,2.000,,,2.000,,5.000,,,,
　　奥多摩町,確,,1.000,,,1758.000,27.000,331.851,,,1.000,17.000,7.000,8.000,12.000,1.000,,1.000,,,1.000,,33.000,345.000,1.000,,10.148,,2.000,1.000,1.000,,,,,,,,,1.000,2.000,1.000,1.000,,1.000,,1.000,1.000,,,1.000,,16.000,,,,
島部計,,5.000,7.000,8.000,17.000,7764.000,205.000,2167.606,1.000,,1.000,124.000,25.000,90.000,81.000,5.000,,10.000,4.000,2.000,3.000,,348.000,1769.000,3.000,7.000,144.387,3.000,3.000,1.000,4.000,2.000,1.000,2.000,2.000,4.000,3.000,1.000,3.000,,1.000,1.000,3.000,1.000,2.000,1.000,5.000,,2.000,4.000,13.000,2.000,116.000,3.000,,2.000,2.000
　大島支庁小計,,3.000,4.000,5.000,10.000,3788.000,84.000,1018.087,1.000,,,54.000,9.000,36.000,37.000,1.000,,4.000,2.000,,2.000,,146.000,893.000,2.000,2.000,90.910,2.000,1.000,,3.000,1.000,1.000,1.000,2.000,2.000,1.000,,1.000,,1.000,,2.000,,1.000,,3.000,,1.000,2.000,9.000,2.000,56.000,2.000,,1.000,1.000
　　　大島町,確,2.000,3.000,3.000,7.000,2065.000,54.000,617.380,1.000,,,37.000,7.000,25.000,20.000,,,3.000,1.000,,2.000,,89.000,643.000,1.000,1.000,45.619,1.000,,,1.000,1.000,1.000,1.000,1.000,2.000,1.000,,1.000,,1.000,,,,1.000,,2.000,,1.000,1.000,8.000,1.000,31.000,1.000,,1.000,
　　　利島村,確,,,,,130.000,1.000,42.000,,,,1.000,,2.000,1.000,,,,,,,,3.000,23.000,,,2.000,,,,1.000,,,,,,,,,,,,,,,,1.000,,,1.000,,,1.000,,,,
　　　新島村,確,,1.000,1.000,3.000,979.000,12.000,224.897,,,,8.000,,4.000,4.000,,,,,,,,36.000,117.000,,1.000,12.102,,,,1.000,,,,1.000,,,,,,,,,,,,,,,,,,15.000,1.000,,,1.000
　　　神津島村,確,1.000,,1.000,,614.000,17.000,133.810,,,,8.000,2.000,5.000,12.000,1.000,,1.000,1.000,,,,18.000,110.000,1.000,,31.189,1.000,1.000,,,,,,,,,,,,,,2.000,,,,,,,,1.000,1.000,9.000,,,,
　三宅支庁小計,,,2.000,1.000,4.000,837.000,15.000,251.750,,,,15.000,5.000,11.000,13.000,,,1.000,,,,,29.000,185.000,1.000,3.000,14.248,,,1.000,,1.000,,,,2.000,,1.000,1.000,,,1.000,,,1.000,,,,1.000,,,,14.000,,,1.000,
　　　三宅村,確,,2.000,1.000,4.000,755.000,15.000,213.890,,,,14.000,4.000,10.000,7.000,,,1.000,,,,,24.000,146.000,,1.000,8.109,,,1.000,,1.000,,,,2.000,,1.000,1.000,,,1.000,,,1.000,,,,1.000,,,,12.000,,,1.000,
　　　御蔵島村,確,,,,,82.000,,37.860,,,,1.000,1.000,1.000,6.000,,,,,,,,5.000,39.000,1.000,2.000,6.139,,,,,,,,,,,,,,,,,,,,,,,,,,2.000,,,,
　八丈支庁小計,,2.000,,1.000,,2573.000,55.000,558.801,,,,33.000,6.000,30.000,21.000,3.000,,1.000,,2.000,1.000,,112.000,509.000,,1.000,28.198,1.000,1.000,,1.000,,,1.000,,,2.000,,1.000,,,,1.000,1.000,,1.000,,,,2.000,3.000,,25.000,,,,
　　　八丈町,確,2.000,,1.000,,2501.000,55.000,540.801,,,,33.000,6.000,29.000,21.000,3.000,,1.000,,2.000,1.000,,110.000,500.000,,1.000,28.198,1.000,1.000,,1.000,,,1.000,,,2.000,,1.000,,,,1.000,1.000,,1.000,,,,2.000,3.000,,24.000,,,,
　　　青ヶ島村,確,,,,,72.000,,18.000,,,,,,1.000,,,,,,,,,2.000,9.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,,,,
　小笠原支庁小計,,,1.000,1.000,3.000,566.000,51.000,338.968,,,1.000,22.000,5.000,13.000,10.000,1.000,,4.000,2.000,,,,61.000,182.000,,1.000,11.031,,1.000,,,,,,,,,,,,,,,,,,2.000,,,,1.000,,21.000,1.000,,,1.000
　　　小笠原村,確,,1.000,1.000,3.000,566.000,51.000,338.968,,,1.000,22.000,5.000,13.000,10.000,1.000,,4.000,2.000,,,,61.000,182.000,,1.000,11.031,,1.000,,,,,,,,,,,,,,,,,,2.000,,,,1.000,,21.000,1.000,,,1.000
