地域 コード,地域,時間軸(年次),世帯の年間収入階級,普通世帯数【世帯】
13110,目黒区,2018年,100万円未満,"4,100"
13110,目黒区,2018年,100～200万円未満,"10,740"
13110,目黒区,2018年,200～300万円未満,"18,810"
13110,目黒区,2018年,300～400万円未満,"19,160"
13110,目黒区,2018年,400～500万円未満,"16,490"
13110,目黒区,2018年,500～700万円未満,"18,760"
13110,目黒区,2018年,700～1000万円未満,"16,570"
13110,目黒区,2018年,1000～1500万円未満,"13,190"
13110,目黒区,2018年,1500万円以上,"8,990"
13111,大田区,2018年,総数,"378,230"
13111,大田区,2018年,100万円未満,"14,420"
13111,大田区,2018年,100～200万円未満,"34,260"
13111,大田区,2018年,200～300万円未満,"53,260"
13111,大田区,2018年,300～400万円未満,"46,640"
13111,大田区,2018年,400～500万円未満,"49,490"
13111,大田区,2018年,500～700万円未満,"52,750"
13111,大田区,2018年,700～1000万円未満,"47,260"
13111,大田区,2018年,1000～1500万円未満,"27,200"
13111,大田区,2018年,1500万円以上,"10,870"
13112,世田谷区,2018年,総数,"468,600"
13112,世田谷区,2018年,100万円未満,"18,750"
13112,世田谷区,2018年,100～200万円未満,"33,910"
13112,世田谷区,2018年,200～300万円未満,"50,690"
13112,世田谷区,2018年,300～400万円未満,"56,220"
13112,世田谷区,2018年,400～500万円未満,"45,510"
13112,世田谷区,2018年,500～700万円未満,"57,370"
13112,世田谷区,2018年,700～1000万円未満,"52,230"
13112,世田谷区,2018年,1000～1500万円未満,"42,860"
13112,世田谷区,2018年,1500万円以上,"25,740"
13113,渋谷区,2018年,総数,"138,490"
13113,渋谷区,2018年,100万円未満,"7,180"
13113,渋谷区,2018年,100～200万円未満,"9,670"
13113,渋谷区,2018年,200～300万円未満,"15,200"
13113,渋谷区,2018年,300～400万円未満,"16,630"
13113,渋谷区,2018年,400～500万円未満,"15,220"
13113,渋谷区,2018年,500～700万円未満,"18,830"
13113,渋谷区,2018年,700～1000万円未満,"14,580"
13113,渋谷区,2018年,1000～1500万円未満,"10,190"
